iso3,IndicatorCode,Year,Value,IndicatorName
EGY,SP.POP.TOTL,2005,74942115.0,Población total
EGY,GB.XPD.RSDV.GD.ZS,2005,0.24141,Gasto I+D (% PIB)
SLV,NY.GDP.PCAP.CD,2005,2874.25725626454,PIB per cápita (USD)
SLV,SP.POP.TOTL,2005,5947206.0,Población total
GNQ,NY.GDP.PCAP.CD,2005,13129.5981770095,PIB per cápita (USD)
GNQ,SP.POP.TOTL,2005,625866.0,Población total
ERI,NY.GDP.PCAP.CD,2005,262.074245377106,PIB per cápita (USD)
ERI,SP.POP.TOTL,2005,4191273.0,Población total
EST,NY.GDP.PCAP.CD,2005,10338.3172625946,PIB per cápita (USD)
EST,SP.POP.TOTL,2005,1354775.0,Población total
EST,GB.XPD.RSDV.GD.ZS,2005,0.92381,Gasto I+D (% PIB)
EST,SP.POP.SCIE.RD.P6,2005,2457.10214,Investigadores por millón hab.
ETH,NY.GDP.PCAP.CD,2005,161.876953908295,PIB per cápita (USD)
ETH,SP.POP.TOTL,2005,76608431.0,Población total
ETH,GB.XPD.RSDV.GD.ZS,2005,0.17917,Gasto I+D (% PIB)
ETH,SP.POP.SCIE.RD.P6,2005,20.98986,Investigadores por millón hab.
FRO,NY.GDP.PCAP.CD,2005,35808.8298627485,PIB per cápita (USD)
FRO,SP.POP.TOTL,2005,48337.0,Población total
FJI,NY.GDP.PCAP.CD,2005,3658.61747680046,PIB per cápita (USD)
FJI,SP.POP.TOTL,2005,821820.0,Población total
FIN,NY.GDP.PCAP.CD,2005,38969.171631813,PIB per cápita (USD)
FIN,SP.POP.TOTL,2005,5246096.0,Población total
FIN,GB.XPD.RSDV.GD.ZS,2005,3.32976,Gasto I+D (% PIB)
FIN,SP.POP.SCIE.RD.P6,2005,7544.64803,Investigadores por millón hab.
FRA,NY.GDP.PCAP.CD,2005,34879.7263291899,PIB per cápita (USD)
FRA,SP.POP.TOTL,2005,63179356.0,Población total
FRA,GB.XPD.RSDV.GD.ZS,2005,2.04447,Gasto I+D (% PIB)
FRA,SP.POP.SCIE.RD.P6,2005,3306.6814,Investigadores por millón hab.
PYF,SP.POP.TOTL,2005,254884.0,Población total
GAB,NY.GDP.PCAP.CD,2005,6865.32349733016,PIB per cápita (USD)
GAB,SP.POP.TOTL,2005,1377777.0,Población total
GMB,NY.GDP.PCAP.CD,2005,433.2915835945749,PIB per cápita (USD)
GMB,SP.POP.TOTL,2005,1440542.0,Población total
GEO,NY.GDP.PCAP.CD,2005,1469.92731980371,PIB per cápita (USD)
GEO,SP.POP.TOTL,2005,4361400.0,Población total
GEO,GB.XPD.RSDV.GD.ZS,2005,0.17658,Gasto I+D (% PIB)
DEU,NY.GDP.PCAP.CD,2005,34696.62091671,PIB per cápita (USD)
DEU,SP.POP.TOTL,2005,82469422.0,Población total
DEU,GB.XPD.RSDV.GD.ZS,2005,2.42574,Gasto I+D (% PIB)
DEU,SP.POP.SCIE.RD.P6,2005,3349.64573,Investigadores por millón hab.
GHA,NY.GDP.PCAP.CD,2005,501.72407455066,PIB per cápita (USD)
GHA,SP.POP.TOTL,2005,21389514.0,Población total
GRC,NY.GDP.PCAP.CD,2005,22337.054465805297,PIB per cápita (USD)
GRC,SP.POP.TOTL,2005,11092913.0,Población total
GRC,GB.XPD.RSDV.GD.ZS,2005,0.57922,Gasto I+D (% PIB)
GRC,SP.POP.SCIE.RD.P6,2005,1769.95323,Investigadores por millón hab.
GRL,NY.GDP.PCAP.CD,2005,29903.284035428,PIB per cápita (USD)
GRL,SP.POP.TOTL,2005,56935.0,Población total
GRD,NY.GDP.PCAP.CD,2005,6754.38117450337,PIB per cápita (USD)
GRD,SP.POP.TOTL,2005,102951.0,Población total
GUM,SP.POP.TOTL,2005,158401.0,Población total
GUM,SP.POP.SCIE.RD.P6,2005,303.02839,Investigadores por millón hab.
GTM,NY.GDP.PCAP.CD,2005,2064.0471832571698,PIB per cápita (USD)
GTM,SP.POP.TOTL,2005,13183505.0,Población total
GTM,GB.XPD.RSDV.GD.ZS,2005,0.035,Gasto I+D (% PIB)
GTM,SP.POP.SCIE.RD.P6,2005,29.43072,Investigadores por millón hab.
GIN,NY.GDP.PCAP.CD,2005,303.760966051664,PIB per cápita (USD)
GIN,SP.POP.TOTL,2005,9669023.0,Población total
GNB,NY.GDP.PCAP.CD,2005,401.147289045779,PIB per cápita (USD)
GNB,SP.POP.TOTL,2005,1462784.0,Población total
GUY,NY.GDP.PCAP.CD,2005,1110.95771735024,PIB per cápita (USD)
GUY,SP.POP.TOTL,2005,742495.0,Población total
HTI,NY.GDP.PCAP.CD,2005,465.310135353948,PIB per cápita (USD)
HTI,SP.POP.TOTL,2005,9263409.0,Población total
HND,NY.GDP.PCAP.CD,2005,1405.78216029461,PIB per cápita (USD)
HND,SP.POP.TOTL,2005,6880181.0,Población total
HKG,NY.GDP.PCAP.CD,2005,26649.750801707003,PIB per cápita (USD)
HKG,SP.POP.TOTL,2005,6813200.0,Población total
HKG,GB.XPD.RSDV.GD.ZS,2005,0.77343,Gasto I+D (% PIB)
HKG,SP.POP.SCIE.RD.P6,2005,2634.13843,Investigadores por millón hab.
HUN,NY.GDP.PCAP.CD,2005,11155.9614487481,PIB per cápita (USD)
HUN,SP.POP.TOTL,2005,10087065.0,Población total
HUN,GB.XPD.RSDV.GD.ZS,2005,0.93037,Gasto I+D (% PIB)
HUN,SP.POP.SCIE.RD.P6,2005,1572.70767,Investigadores por millón hab.
ISL,NY.GDP.PCAP.CD,2005,56445.5361371634,PIB per cápita (USD)
ISL,SP.POP.TOTL,2005,296734.0,Población total
ISL,GB.XPD.RSDV.GD.ZS,2005,2.68838,Gasto I+D (% PIB)
ISL,SP.POP.SCIE.RD.P6,2005,7261.79043,Investigadores por millón hab.
IND,NY.GDP.PCAP.CD,2005,729.000727040133,PIB per cápita (USD)
IND,SP.POP.TOTL,2005,1144326293.0,Población total
IND,GB.XPD.RSDV.GD.ZS,2005,0.81044,Gasto I+D (% PIB)
IND,SP.POP.SCIE.RD.P6,2005,135.2997,Investigadores por millón hab.
IDN,NY.GDP.PCAP.CD,2005,1263.48144553621,PIB per cápita (USD)
IDN,SP.POP.TOTL,2005,226254703.0,Población total
IRN,NY.GDP.PCAP.CD,2005,3135.18740764254,PIB per cápita (USD)
IRN,SP.POP.TOTL,2005,70122115.0,Población total
IRN,GB.XPD.RSDV.GD.ZS,2005,0.73454,Gasto I+D (% PIB)
IRQ,NY.GDP.PCAP.CD,2005,1848.96820105495,PIB per cápita (USD)
IRQ,SP.POP.TOTL,2005,27017712.0,Población total
IRL,NY.GDP.PCAP.CD,2005,50815.64169142269,PIB per cápita (USD)
